Category,References,Value,Stock Code,Unit Cost
Condensateurs,C1,470nF,C320C474M5U5TA+,$0.60
Condensateurs,C2,10nF,C315C103K1R5TA+,$0.25
Condensateurs,C3,0.1uF,C320C104M5U5TA+,$0.25
Condensateurs,C4,470nF,C320C474M5U5TA+,$0.60
Condensateurs,C5,10nF,C315C103K1R5TA+,$0.25
Condensateurs,C6,0.1uF,C320C104M5U5TA+,$0.25
Condensateurs,C7,470nF,C320C474M5U5TA+,$0.60
Condensateurs,C8,10nF,C315C103K1R5TA+,$0.25
Condensateurs,C9,0.1uF,C320C104M5U5TA+,$0.25
Condensateurs,C10,0.1uF,C320C104M5U5TA+,$0.25
Condensateurs,C11,1000uF,SY 1000uF/35V,$0.40
Condensateurs,C12,220uF,UVY1V221MPD,$0.40
Condensateurs,C13,22uF,ECE-A1VN220U,$0.70
Condensateurs,C14,0.1uF,EEU-FC2A2R2,$0.50
Condensateurs,C15,0.1uF,C320C104M5U5TA+,$0.25
Condensateurs,C16,0.1uF,C320C104M5U5TA+,$0.25
Condensateurs,C17,0.1uF,C320C104M5U5TA+,$0.25
Condensateurs,C18,220uF,UVY1V221MPD,$0.40
Résistances,R1,13,MF0207FTE52-13R,$0.15
Résistances,R2,13,MF0207FTE52-13R,$0.15
Résistances,R3,33k,MF0207FTE52-33K,$0.15
Résistances,R4,13,MF0207FTE52-13R,$0.15
Résistances,R5,13,MF0207FTE52-13R,$0.15
Résistances,R6,33k,MF0207FTE52-33K,$0.15
Résistances,R7,13,MF0207FTE52-13R,$0.15
Résistances,R8,13,MF0207FTE52-13R,$0.15
Résistances,R9,33k,MF0207FTE52-33K,$0.15
Résistances,R10,4k7,MF0207FTE52-4K7,$0.15
Résistances,R11,4k7,MF0207FTE52-4K7,$0.15
Résistances,R12,4k7,MF0207FTE52-4K7,$0.15
Résistances,R13,4k7,MF0207FTE52-4K7,$0.15
Résistances,R14,4k7,MF0207FTE52-4K7,$0.15
Résistances,R15,150,MF0207FTE52-150R,$0.15
Résistances,R16,4k7,MF0207FTE52-4K7,$0.15
Résistances,R17,4k7,MF0207FTE52-4K7,$0.15
Résistances,R18,150,MF0207FTE52-150R,$0.15
Résistances,R19,150,MF0207FTE52-150R,$0.15
Résistances,R20,150,MF0207FTE52-150R,$0.15
Résistances,RV1,10k,AB 4114503545,$1.25
Circuits intégrés,U1,IR2301,IR2301PBF,$3.60
Circuits intégrés,U2,IR2301,IR2301PBF,$3.60
Circuits intégrés,U3,IR2301,IR2301PBF,$3.60
Circuits intégrés,U4,PIC18F25K22,PIC18F25K22-I/SP,$3.85
Circuits intégrés,U5,L78S05CV,L78S05CV,$0.50
Circuits intégrés,U1A1,Support CI 8 pôles,2050000074158,$0.25
Circuits intégrés,U2A1,Support CI 8 pôles,2050000074158,$0.25
Circuits intégrés,U3A1,Support CI 8 pôles,2050000074158,$0.25
Circuits intégrés,U4A1,Support CI 28 pôles,2050000074271,$0.60
Transistors,Q1,IRLB3813PBF,IRLB3813PBF,$1.95
Transistors,Q2,IRLB3813PBF,IRLB3813PBF,$1.95
Transistors,Q3,IRLB3813PBF,IRLB3813PBF,$1.95
